feature,perm_importance_mean,perm_importance_std
AdjEM_diff,0.11587301587301586,0.052188197532614576
Seed_diff,0.04444444444444442,0.02909571869813232
Pre-Tournament.AdjEM_diff,0.036507936507936475,0.010163689265766412
Pre-Tournament.RankAdjEM_diff,0.014285714285714258,0.014974573225486659
teamFgPct,0.014285714285714235,0.004761904761904745
Pre-Tournament.RankDE_diff,0.011111111111111082,0.010163689265766412
ftPctDiff,0.011111111111111072,0.007273929674533054
RankDef3PtFG_diff,0.0095238095238095,0.010528967588429826
eFgPctDiff,0.00952380952380949,0.007776157913597362
Adjusted Defensive Efficiency Rank_diff,0.004761904761904745,0.007273929674533054
team2_Seed,0.0047619047619047224,0.012397221707788333
FTPct_diff,0.0015873015873015483,0.0131851172427271
AdjDE_diff,0.0015873015873015483,0.013185117242727099
RankFG3Rate_diff,0.0,0.0
RankOppFG2Pct_diff,0.0,0.0
RankOppBlockPct_diff,0.0,0.0
RankOffFT_diff,0.0,0.0
RankOff3PtFG_diff,0.0,0.0
RankOff2PtFG_diff,0.0,0.0
team1_Seed,0.0,0.0
RankFG3Pct_diff,0.0,0.0
RankAdjDE_diff,0.0,0.0
RankDefFT_diff,0.0,0.0
RankOppFG3Rate_diff,0.0,0.0
RankDef2PtFG_diff,0.0,0.0
RankDE_diff,0.0,0.0
RankAdjTempo_diff,0.0,0.0
RankOppFG3Pct_diff,0.0,0.0
RankAdjOE_diff,0.0,0.0
RankOppFTPct_diff,0.0,0.0
teamThreePtPct,0.0,0.0
threePtPctDiff,0.0,0.0
fgPctDiff,0.0,0.0
oppAstTo,0.0,0.0
oppEFgPct,0.0,0.0
oppFgPct,0.0,0.0
teamAstTo,0.0,0.0
teamEFgPct,0.0,0.0
StlRate_diff,0.0,0.0
RankOppStlRate_diff,0.0,0.0
Raw Tempo Rank_diff,0.0,0.0
Raw Tempo_diff,0.0,0.0
Raw Offensive Efficiency Rank_diff,0.0,0.0
Raw Offensive Efficiency_diff,0.0,0.0
Pre-Tournament.RankTempo_diff,0.0,0.0
Raw Defensive Efficiency_diff,0.0,0.0
RankTempo_diff,0.0,0.0
Raw Defensive Efficiency Rank_diff,0.0,0.0
astToDiff,0.0,0.0
Pre-Tournament.RankOE_diff,0.0,0.0
OppARate_diff,0.0,0.0
OppFG3Pct_diff,0.0,0.0
OppFG3Rate_diff,0.0,0.0
OE_diff,0.0,0.0
FG3Rate_diff,0.0,0.0
FG3Pct_diff,0.0,0.0
DefFT_diff,0.0,0.0
Def3PtFG_diff,0.0,0.0
Def2PtFG_diff,0.0,0.0
Pre-Tournament.AdjDE_diff,0.0,0.0
Off3PtFG_diff,0.0,0.0
DE_diff,0.0,0.0
Pre-Tournament.AdjTempo_diff,0.0,0.0
Pre-Tournament.DE_diff,0.0,0.0
Adjusted Tempo Rank_diff,0.0,0.0
Adjusted Temo_diff,0.0,0.0
Pre-Tournament.RankAdjDE_diff,0.0,0.0
Adjusted Offensive Efficiency_diff,0.0,0.0
AdjTempo_diff,0.0,0.0
Pre-Tournament.RankAdjTempo_diff,0.0,0.0
AdjOE_diff,0.0,0.0
Off2PtFG_diff,-0.0015873015873015927,0.004761904761904778
eFGPct_diff,-0.0015873015873015927,0.004761904761904778
RankStlRate_diff,-0.0015873015873015927,0.004761904761904778
RankORPct_diff,-0.0015873015873015927,0.004761904761904778
DayNum,-0.001587301587301615,0.0229473528488904
RankOE_diff,-0.001587301587301615,0.011111111111111115
ARate_diff,-0.0031746031746031854,0.006349206349206371
Adjusted Defensive Efficiency_diff,-0.0031746031746031854,0.006349206349206371
oppFtPct,-0.0031746031746031854,0.006349206349206371
oppThreePtPct,-0.0031746031746031854,0.006349206349206371
Pre-Tournament.OE_diff,-0.0031746031746031854,0.006349206349206371
OffFT_diff,-0.0031746031746031854,0.006349206349206371
FG2Pct_diff,-0.0031746031746031854,0.006349206349206371
OppBlockPct_diff,-0.0031746031746031854,0.006349206349206371
FTRate_diff,-0.0031746031746031854,0.006349206349206371
OppFG2Pct_diff,-0.0031746031746031854,0.006349206349206371
OppFTPct_diff,-0.0031746031746031854,0.006349206349206371
RankFTRate_diff,-0.0031746031746031967,0.009523809523809535
Adjusted Offensive Efficiency Rank_diff,-0.0031746031746032076,0.01187827741832998
RankOppARate_diff,-0.004761904761904778,0.007273929674533105
RankAdjEM_diff,-0.004761904761904789,0.010163689265766438
RankFTPct_diff,-0.006349206349206371,0.007776157913597417
OppStlRate_diff,-0.007936507936507964,0.007936507936507964
RankARate_diff,-0.007936507936507964,0.007936507936507964
RankFG2Pct_diff,-0.007936507936507964,0.01626500121580888
Pre-Tournament.RankAdjOE_diff,-0.007936507936507964,0.007936507936507964
Pre-Tournament.Tempo_diff,-0.007936507936507964,0.007936507936507964
RankTOPct_diff,-0.009523809523809556,0.007776157913597417
Tempo_diff,-0.009523809523809556,0.007776157913597417
Pre-Tournament.AdjOE_diff,-0.009523809523809556,0.007776157913597417
RankeFGPct_diff,-0.009523809523809556,0.007776157913597418
TOPct_diff,-0.009523809523809556,0.007776157913597417
RankBlockPct_diff,-0.01111111111111115,0.007273929674533105
teamFtPct,-0.01111111111111115,0.007273929674533105
BlockPct_diff,-0.01111111111111115,0.007273929674533105
Active Coaching Length Index_diff,-0.01111111111111115,0.007273929674533105
ORPct_diff,-0.014285714285714323,0.00854788064624525
