feature,importance
AdjEM_diff,0.032822095
RankAdjEM_diff,0.029651593
DayNum,0.029551553
Pre-Tournament.AdjEM_diff,0.018146247
Seed_diff,0.014390317
RankAdjDE_diff,0.014110192
teamThreePtPct,0.01218657
team2_Seed,0.011949844
Pre-Tournament.RankAdjEM_diff,0.011576003
eFgPctDiff,0.011382933
Adjusted Defensive Efficiency_diff,0.011348272
teamFgPct,0.011316758
oppFgPct,0.011293783
AdjTempo_diff,0.011289824
threePtPctDiff,0.011253793
Adjusted Offensive Efficiency_diff,0.011195131
Adjusted Defensive Efficiency Rank_diff,0.01109309
fgPctDiff,0.010949302
Adjusted Temo_diff,0.010905045
RankOE_diff,0.010874973
oppThreePtPct,0.010857591
Adjusted Offensive Efficiency Rank_diff,0.010776284
AdjDE_diff,0.010675381
RankFTRate_diff,0.010537935
Raw Tempo Rank_diff,0.010374079
AdjOE_diff,0.009992574
RankAdjOE_diff,0.009952019
FTRate_diff,0.009949346
Raw Offensive Efficiency_diff,0.009856411
teamEFgPct,0.009704178
Adjusted Tempo Rank_diff,0.009635581
Pre-Tournament.Tempo_diff,0.009534526
RankDefFT_diff,0.009521615
Def3PtFG_diff,0.009335885
team1_Seed,0.009226557
Pre-Tournament.RankAdjDE_diff,0.009168226
teamAstTo,0.009114079
RankeFGPct_diff,0.0089122765
RankTempo_diff,0.00890711
Off3PtFG_diff,0.008803229
RankBlockPct_diff,0.008734466
astToDiff,0.008723562
OppFG2Pct_diff,0.008673776
ORPct_diff,0.00862633
RankAdjTempo_diff,0.0086173965
ftPctDiff,0.008590418
Pre-Tournament.RankAdjOE_diff,0.008576217
RankStlRate_diff,0.008563891
RankDef3PtFG_diff,0.008530292
Pre-Tournament.AdjOE_diff,0.008486885
FTPct_diff,0.008331656
DE_diff,0.00826052
FG3Pct_diff,0.008249339
oppEFgPct,0.008122206
FG2Pct_diff,0.008113289
OppFG3Pct_diff,0.00810359
Pre-Tournament.AdjTempo_diff,0.008061397
Raw Offensive Efficiency Rank_diff,0.008053974
RankOff3PtFG_diff,0.008047477
Pre-Tournament.RankTempo_diff,0.00802737
OppStlRate_diff,0.008008922
Pre-Tournament.RankDE_diff,0.007992723
OppFG3Rate_diff,0.007978867
RankOff2PtFG_diff,0.007948175
Pre-Tournament.OE_diff,0.00791159
TOPct_diff,0.007911494
OppBlockPct_diff,0.007910277
RankDE_diff,0.007883675
RankFG2Pct_diff,0.007851954
OffFT_diff,0.0078506535
StlRate_diff,0.007801377
Active Coaching Length Index_diff,0.007797008
RankOffFT_diff,0.0077751954
RankOppBlockPct_diff,0.0077146636
RankOppARate_diff,0.007708821
Raw Defensive Efficiency_diff,0.0076981727
Def2PtFG_diff,0.0076904087
teamFtPct,0.007592568
DefFT_diff,0.0075676935
RankDef2PtFG_diff,0.0075386465
OppARate_diff,0.0075366683
RankORPct_diff,0.0074938503
RankOppFG3Pct_diff,0.007486688
RankOppStlRate_diff,0.0074590417
Pre-Tournament.RankAdjTempo_diff,0.007384433
oppFtPct,0.0073796967
ARate_diff,0.0073606987
BlockPct_diff,0.007295126
RankFTPct_diff,0.007261127
RankOppFG3Rate_diff,0.007255456
RankARate_diff,0.007150422
Pre-Tournament.AdjDE_diff,0.0071501983
eFGPct_diff,0.0070911576
Tempo_diff,0.0069262558
RankTOPct_diff,0.006911758
OE_diff,0.0067762127
Off2PtFG_diff,0.006767769
RankFG3Pct_diff,0.006701909
RankOppFG2Pct_diff,0.006594847
OppFTPct_diff,0.006422356
RankFG3Rate_diff,0.0063389395
oppAstTo,0.006308802
Pre-Tournament.RankOE_diff,0.00616184
FG3Rate_diff,0.0058601275
Pre-Tournament.DE_diff,0.0054818573
RankOppFTPct_diff,0.004697631
Raw Tempo_diff,0.0045466605
Raw Defensive Efficiency Rank_diff,0.0024493786
